partition,kissat,drat,cadical,cms,seed
871,UNSAT,OK,UNSAT,TIMEOUT,
154,UNSAT,OK,UNSAT,TIMEOUT,
834,UNSAT,OK,UNSAT,TIMEOUT,
682,UNSAT,OK,UNSAT,TIMEOUT,
454,UNSAT,OK,UNSAT,TIMEOUT,
594,UNSAT,OK,UNSAT,TIMEOUT,
951,UNSAT,OK,UNSAT,TIMEOUT,
768,UNSAT,OK,UNSAT,TIMEOUT,
867,UNSAT,OK,UNSAT,TIMEOUT,
803,UNSAT,OK,UNSAT,UNSAT,
86,UNSAT,OK,UNSAT,TIMEOUT,
228,UNSAT,OK,UNSAT,TIMEOUT,
169,UNSAT,OK,UNSAT,TIMEOUT,
73,UNSAT,OK,UNSAT,TIMEOUT,
987,UNSAT,OK,UNSAT,TIMEOUT,
559,UNSAT,OK,UNSAT,TIMEOUT,
558,UNSAT,OK,UNSAT,TIMEOUT,
96,UNSAT,OK,UNSAT,TIMEOUT,
10,UNSAT,OK,UNSAT,TIMEOUT,
0,UNSAT,OK,UNSAT,TIMEOUT,
892,UNSAT,OK,UNSAT,TIMEOUT,
204,TIMEOUT,SKIP,TIMEOUT,TIMEOUT,
508,UNSAT,OK,UNSAT,TIMEOUT,
924,UNSAT,OK,UNSAT,TIMEOUT,
613,UNSAT,OK,UNSAT,TIMEOUT,
467,TIMEOUT,SKIP,TIMEOUT,TIMEOUT,
991,UNSAT,OK,UNSAT,TIMEOUT,
996,TIMEOUT,SKIP,TIMEOUT,TIMEOUT,
161,UNSAT,OK,UNSAT,TIMEOUT,
842,UNSAT,OK,UNSAT,TIMEOUT,
244,UNSAT,OK,UNSAT,TIMEOUT,
358,UNSAT,OK,UNSAT,TIMEOUT,
