w1_msb,w2_msb,result,time,vars,clauses
0,0,TIMEOUT,60.0,10948,46113
0,1,TIMEOUT,60.0,10949,46120
0,2,TIMEOUT,60.0,10949,46120
0,3,TIMEOUT,60.0,10950,46127
0,4,TIMEOUT,60.0,10948,46113
0,5,TIMEOUT,60.0,10949,46120
0,6,TIMEOUT,60.0,10949,46120
0,7,TIMEOUT,60.0,10950,46127
1,0,TIMEOUT,60.0,10949,46120
1,1,TIMEOUT,60.0,10950,46127
1,2,TIMEOUT,60.0,10950,46127
1,3,TIMEOUT,60.0,10951,46134
1,4,TIMEOUT,60.0,10949,46120
1,5,TIMEOUT,60.0,10950,46127
1,6,TIMEOUT,60.0,10950,46127
1,7,TIMEOUT,60.0,10951,46134
